id,state_id:id,name,country_id:id
municipal_ve_1,l10n_ve_address_extended.state_ve_1,Alto Orinoco,base.ve
municipal_ve_2,l10n_ve_address_extended.state_ve_1,Atabapo,base.ve
municipal_ve_3,l10n_ve_address_extended.state_ve_1,Atures,base.ve
municipal_ve_4,l10n_ve_address_extended.state_ve_1,Autana,base.ve
municipal_ve_5,l10n_ve_address_extended.state_ve_1,Manapiare,base.ve
municipal_ve_6,l10n_ve_address_extended.state_ve_1,Maroa,base.ve
municipal_ve_7,l10n_ve_address_extended.state_ve_1,Río Negro,base.ve
municipal_ve_8,l10n_ve_address_extended.state_ve_2,Anaco,base.ve
municipal_ve_9,l10n_ve_address_extended.state_ve_2,Aragua,base.ve
municipal_ve_10,l10n_ve_address_extended.state_ve_2,Manuel Ezequiel Bruzual,base.ve
municipal_ve_11,l10n_ve_address_extended.state_ve_2,Diego Bautista Urbaneja,base.ve
municipal_ve_12,l10n_ve_address_extended.state_ve_2,Fernando Peñalver,base.ve
municipal_ve_13,l10n_ve_address_extended.state_ve_2,Francisco Del Carmen Carvajal,base.ve
municipal_ve_14,l10n_ve_address_extended.state_ve_2,General Sir Arthur McGregor,base.ve
municipal_ve_15,l10n_ve_address_extended.state_ve_2,Guanta,base.ve
municipal_ve_16,l10n_ve_address_extended.state_ve_2,Independencia,base.ve
municipal_ve_17,l10n_ve_address_extended.state_ve_2,José Gregorio Monagas,base.ve
municipal_ve_18,l10n_ve_address_extended.state_ve_2,Juan Antonio Sotillo,base.ve
municipal_ve_19,l10n_ve_address_extended.state_ve_2,Juan Manuel Cajigal,base.ve
municipal_ve_20,l10n_ve_address_extended.state_ve_2,Libertad,base.ve
municipal_ve_21,l10n_ve_address_extended.state_ve_2,Francisco de Miranda,base.ve
municipal_ve_22,l10n_ve_address_extended.state_ve_2,Pedro María Freites,base.ve
municipal_ve_23,l10n_ve_address_extended.state_ve_2,Píritu,base.ve
municipal_ve_24,l10n_ve_address_extended.state_ve_2,San José de Guanipa,base.ve
municipal_ve_25,l10n_ve_address_extended.state_ve_2,San Juan de Capistrano,base.ve
municipal_ve_26,l10n_ve_address_extended.state_ve_2,Santa Ana,base.ve
municipal_ve_27,l10n_ve_address_extended.state_ve_2,Simón Bolívar,base.ve
municipal_ve_28,l10n_ve_address_extended.state_ve_2,Simón Rodríguez,base.ve
municipal_ve_29,l10n_ve_address_extended.state_ve_3,Achaguas,base.ve
municipal_ve_30,l10n_ve_address_extended.state_ve_3,Biruaca,base.ve
municipal_ve_31,l10n_ve_address_extended.state_ve_3,Muñóz,base.ve
municipal_ve_32,l10n_ve_address_extended.state_ve_3,Páez,base.ve
municipal_ve_33,l10n_ve_address_extended.state_ve_3,Pedro Camejo,base.ve
municipal_ve_34,l10n_ve_address_extended.state_ve_3,Rómulo Gallegos,base.ve
municipal_ve_35,l10n_ve_address_extended.state_ve_3,San Fernando,base.ve
municipal_ve_36,l10n_ve_address_extended.state_ve_4,Atanasio Girardot,base.ve
municipal_ve_37,l10n_ve_address_extended.state_ve_4,Bolívar,base.ve
municipal_ve_38,l10n_ve_address_extended.state_ve_4,Camatagua,base.ve
municipal_ve_39,l10n_ve_address_extended.state_ve_4,Francisco Linares Alcántara,base.ve
municipal_ve_40,l10n_ve_address_extended.state_ve_4,José Ángel Lamas,base.ve
municipal_ve_41,l10n_ve_address_extended.state_ve_4,José Félix Ribas,base.ve
municipal_ve_42,l10n_ve_address_extended.state_ve_4,José Rafael Revenga,base.ve
municipal_ve_43,l10n_ve_address_extended.state_ve_4,Libertador,base.ve
municipal_ve_44,l10n_ve_address_extended.state_ve_4,Mario Briceño Iragorry,base.ve
municipal_ve_45,l10n_ve_address_extended.state_ve_4,Ocumare de la Costa de Oro,base.ve
municipal_ve_46,l10n_ve_address_extended.state_ve_4,San Casimiro,base.ve
municipal_ve_47,l10n_ve_address_extended.state_ve_4,San Sebastián,base.ve
municipal_ve_48,l10n_ve_address_extended.state_ve_4,Santiago Mariño,base.ve
municipal_ve_49,l10n_ve_address_extended.state_ve_4,Santos Michelena,base.ve
municipal_ve_50,l10n_ve_address_extended.state_ve_4,Sucre,base.ve
municipal_ve_51,l10n_ve_address_extended.state_ve_4,Tovar,base.ve
municipal_ve_52,l10n_ve_address_extended.state_ve_4,Urdaneta,base.ve
municipal_ve_53,l10n_ve_address_extended.state_ve_4,Zamora,base.ve
municipal_ve_54,l10n_ve_address_extended.state_ve_5,Alberto Arvelo Torrealba,base.ve
municipal_ve_55,l10n_ve_address_extended.state_ve_5,Andrés Eloy Blanco,base.ve
municipal_ve_56,l10n_ve_address_extended.state_ve_5,Antonio José de Sucre,base.ve
municipal_ve_57,l10n_ve_address_extended.state_ve_5,Arismendi,base.ve
municipal_ve_58,l10n_ve_address_extended.state_ve_5,Barinas,base.ve
municipal_ve_59,l10n_ve_address_extended.state_ve_5,Bolívar,base.ve
municipal_ve_60,l10n_ve_address_extended.state_ve_5,Cruz Paredes,base.ve
municipal_ve_61,l10n_ve_address_extended.state_ve_5,Ezequiel Zamora,base.ve
municipal_ve_62,l10n_ve_address_extended.state_ve_5,Obispos,base.ve
municipal_ve_63,l10n_ve_address_extended.state_ve_5,Pedraza,base.ve
municipal_ve_64,l10n_ve_address_extended.state_ve_5,Rojas,base.ve
municipal_ve_65,l10n_ve_address_extended.state_ve_5,Sosa,base.ve
municipal_ve_66,l10n_ve_address_extended.state_ve_6,Caroní,base.ve
municipal_ve_67,l10n_ve_address_extended.state_ve_6,Cedeño,base.ve
municipal_ve_68,l10n_ve_address_extended.state_ve_6,El Callao,base.ve
municipal_ve_69,l10n_ve_address_extended.state_ve_6,Gran Sabana,base.ve
municipal_ve_70,l10n_ve_address_extended.state_ve_6,Heres,base.ve
municipal_ve_71,l10n_ve_address_extended.state_ve_6,Piar,base.ve
municipal_ve_72,l10n_ve_address_extended.state_ve_6,Angostura Raúl Leoni),base.ve
municipal_ve_73,l10n_ve_address_extended.state_ve_6,Roscio,base.ve
municipal_ve_74,l10n_ve_address_extended.state_ve_6,Sifontes,base.ve
municipal_ve_75,l10n_ve_address_extended.state_ve_6,Sucre,base.ve
municipal_ve_76,l10n_ve_address_extended.state_ve_6,Padre Pedro Chien,base.ve
municipal_ve_77,l10n_ve_address_extended.state_ve_7,Bejuma,base.ve
