id,municipality_id:id,name,country_id:id
parish_ve_1,l10n_ve_address_extended.municipal_ve_1,Alto Orinoco,base.ve
parish_ve_2,l10n_ve_address_extended.municipal_ve_1,Huachamacare Acanaña,base.ve
parish_ve_3,l10n_ve_address_extended.municipal_ve_1,Marawaka Toky Shamanaña,base.ve
parish_ve_4,l10n_ve_address_extended.municipal_ve_1,Mavaka Mavaka,base.ve
parish_ve_5,l10n_ve_address_extended.municipal_ve_1,Sierra Parima Parimabé,base.ve
parish_ve_6,l10n_ve_address_extended.municipal_ve_2,Ucata Laja Lisa,base.ve
parish_ve_7,l10n_ve_address_extended.municipal_ve_2,Yapacana Macuruco,base.ve
parish_ve_8,l10n_ve_address_extended.municipal_ve_2,Caname Guarinuma,base.ve
parish_ve_9,l10n_ve_address_extended.municipal_ve_3,Fernando Girón Tovar,base.ve
parish_ve_10,l10n_ve_address_extended.municipal_ve_3,Luis Alberto Gómez,base.ve
parish_ve_11,l10n_ve_address_extended.municipal_ve_3,Pahueña Limón de Parhueña,base.ve
parish_ve_12,l10n_ve_address_extended.municipal_ve_3,Platanillal Platanillal,base.ve
parish_ve_13,l10n_ve_address_extended.municipal_ve_4,Samariapo,base.ve
parish_ve_14,l10n_ve_address_extended.municipal_ve_4,Sipapo,base.ve
parish_ve_15,l10n_ve_address_extended.municipal_ve_4,Munduapo,base.ve
parish_ve_16,l10n_ve_address_extended.municipal_ve_4,Guayapo,base.ve
parish_ve_17,l10n_ve_address_extended.municipal_ve_5,Alto Ventuari,base.ve
parish_ve_18,l10n_ve_address_extended.municipal_ve_5,Medio Ventuari,base.ve
parish_ve_19,l10n_ve_address_extended.municipal_ve_5,Bajo Ventuari,base.ve
parish_ve_20,l10n_ve_address_extended.municipal_ve_6,Victorino,base.ve
parish_ve_21,l10n_ve_address_extended.municipal_ve_6,Comunidad,base.ve
parish_ve_22,l10n_ve_address_extended.municipal_ve_7,Casiquiare,base.ve
parish_ve_23,l10n_ve_address_extended.municipal_ve_7,Cocuy,base.ve
parish_ve_24,l10n_ve_address_extended.municipal_ve_7,San Carlos de Río Negro,base.ve
parish_ve_25,l10n_ve_address_extended.municipal_ve_7,Solano,base.ve
parish_ve_26,l10n_ve_address_extended.municipal_ve_8,Anaco,base.ve
parish_ve_27,l10n_ve_address_extended.municipal_ve_8,San Joaquín,base.ve
parish_ve_28,l10n_ve_address_extended.municipal_ve_9,Cachipo,base.ve
parish_ve_29,l10n_ve_address_extended.municipal_ve_9,Aragua de Barcelona,base.ve
parish_ve_30,l10n_ve_address_extended.municipal_ve_11,Lechería,base.ve
parish_ve_31,l10n_ve_address_extended.municipal_ve_11,El Morro,base.ve
parish_ve_32,l10n_ve_address_extended.municipal_ve_12,Puerto Píritu,base.ve
parish_ve_33,l10n_ve_address_extended.municipal_ve_12,San Miguel,base.ve
parish_ve_34,l10n_ve_address_extended.municipal_ve_12,Sucre,base.ve
parish_ve_35,l10n_ve_address_extended.municipal_ve_13,Valle de Guanape,base.ve
parish_ve_36,l10n_ve_address_extended.municipal_ve_13,Santa Bárbara,base.ve
parish_ve_37,l10n_ve_address_extended.municipal_ve_14,El Chaparro,base.ve
parish_ve_38,l10n_ve_address_extended.municipal_ve_14,Tomás Alfaro,base.ve
parish_ve_39,l10n_ve_address_extended.municipal_ve_14,Calatrava,base.ve
parish_ve_40,l10n_ve_address_extended.municipal_ve_15,Guanta,base.ve
parish_ve_41,l10n_ve_address_extended.municipal_ve_15,Chorrerón,base.ve
parish_ve_42,l10n_ve_address_extended.municipal_ve_16,Mamo,base.ve
parish_ve_43,l10n_ve_address_extended.municipal_ve_16,Soledad,base.ve
parish_ve_44,l10n_ve_address_extended.municipal_ve_17,Mapire,base.ve
parish_ve_45,l10n_ve_address_extended.municipal_ve_17,Piar,base.ve
parish_ve_46,l10n_ve_address_extended.municipal_ve_17,Santa Clara,base.ve
parish_ve_47,l10n_ve_address_extended.municipal_ve_17,San Diego de Cabrutica,base.ve
parish_ve_48,l10n_ve_address_extended.municipal_ve_17,Uverito,base.ve
parish_ve_49,l10n_ve_address_extended.municipal_ve_17,Zuata,base.ve
parish_ve_50,l10n_ve_address_extended.municipal_ve_18,Puerto La Cruz,base.ve
parish_ve_51,l10n_ve_address_extended.municipal_ve_18,Pozuelos,base.ve
parish_ve_52,l10n_ve_address_extended.municipal_ve_19,Onoto,base.ve
parish_ve_53,l10n_ve_address_extended.municipal_ve_19,San Pablo,base.ve
parish_ve_54,l10n_ve_address_extended.municipal_ve_20,San Mateo,base.ve
parish_ve_55,l10n_ve_address_extended.municipal_ve_20,El Carito,base.ve
parish_ve_56,l10n_ve_address_extended.municipal_ve_20,Santa Inés,base.ve
parish_ve_57,l10n_ve_address_extended.municipal_ve_20,La Romereña,base.ve
parish_ve_58,l10n_ve_address_extended.municipal_ve_21,Atapirire,base.ve
parish_ve_59,l10n_ve_address_extended.municipal_ve_21,Boca del Pao,base.ve
parish_ve_60,l10n_ve_address_extended.municipal_ve_21,El Pao,base.ve
parish_ve_61,l10n_ve_address_extended.municipal_ve_21,Pariaguán,base.ve
parish_ve_62,l10n_ve_address_extended.municipal_ve_22,Cantaura,base.ve
parish_ve_63,l10n_ve_address_extended.municipal_ve_22,Libertador,base.ve
parish_ve_64,l10n_ve_address_extended.municipal_ve_22,Santa Rosa,base.ve
parish_ve_65,l10n_ve_address_extended.municipal_ve_22,Urica,base.ve
parish_ve_66,l10n_ve_address_extended.municipal_ve_23,Píritu,base.ve
parish_ve_67,l10n_ve_address_extended.municipal_ve_23,San Francisco,base.ve
parish_ve_68,l10n_ve_address_extended.municipal_ve_24,San José de Guanipa,base.ve
parish_ve_69,l10n_ve_address_extended.municipal_ve_25,Boca de Uchire,base.ve
